F_name;Linf;K;A
Scomberomorus cavalla;126;0.17;6.744
Scomberomorus commerson;162.24;0.49838;23.898
Scomberomorus guttatus;98.5;0.59;19.459
Scomberomorus lineolatus;156.5;0.2025;9.4515
Scomberomorus maculatus;75.7;0.31556;8.5426
Scomberomorus munroi;84.9;0.46;13.572
Scomberomorus plurilineatus;93.5;0.583;18.491
Scomberomorus queenslandicus;62.825;0.87;20.479
Scombrops boops;88;0.121;3.6672
Scombrops gilberti;51.4;0.223;4.5156
Scophthalmus maximus;59.684;0.28748;6.5117
Scophthalmus rhombus;43.443;0.496;8.8534
Scorpaena cardinalis;27.5;0.3;3.8003
Scorpaena guttata;44.3;0.13;2.3547
Scorpaena loppei;11.675;0.51;3.3979
Scorpaena maderensis;9.6;0.44;2.5313
Scorpaena notata;18.4;0.3515;3.294
Scorpaena porcus;46.252;0.17136;3.206
Scorpaena scrofa;52.967;0.082;1.6983
Scorpis aequipinnis;41.7;0.18;3.1158
Sebastes aleutianus;51.2;0.08;1.6152
